transaction_id,customer_transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
152,693,2019-04-01,18:13:19,3,17,376,Y,1,1,60,2,7.5,3.75,N
153,694,2019-04-01,14:19:10,3,12,251,Y,1,1,60,1,3.75,3.75,N
154,703,2019-04-01,13:21:23,3,17,459,N,1,1,38,2,7.5,3.75,N
155,709,2019-04-01,12:30:46,3,17,120,N,1,1,44,2,5,2.5,N
156,711,2019-04-01,18:34:56,3,12,136,N,1,1,60,2,7.5,3.75,N
157,724,2019-04-01,13:05:56,3,17,596,Y,1,1,58,1,3.5,3.5,N
158,725,2019-04-01,19:25:42,3,17,393,N,1,1,55,1,4,4,N
159,728,2019-04-01,16:31:22,3,17,126,N,1,1,51,2,6,3,N
160,737,2019-04-01,15:01:21,3,12,162,N,1,1,34,2,4.9,2.45,N
161,739,2019-04-01,12:46:22,3,17,230,Y,1,1,56,1,2.55,2.55,N
162,755,2019-04-01,18:43:42,3,12,290,Y,1,1,25,1,2.2,2.2,N
163,766,2019-04-01,15:09:37,3,12,119,Y,1,1,22,1,2,2,N
164,770,2019-04-01,17:22:29,3,17,332,N,1,1,58,2,7,3.5,N
165,771,2019-04-01,16:38:05,3,12,138,Y,1,1,35,1,3.1,3.1,N
166,777,2019-04-01,14:35:47,3,17,361,N,1,1,55,1,4,4,N
167,778,2019-04-01,15:10:55,3,17,488,N,1,1,42,1,2.5,2.5,N
168,780,2019-04-01,14:05:30,3,12,222,Y,1,1,60,1,3.75,3.75,N
169,782,2019-04-01,18:00:34,3,17,141,Y,1,1,53,1,3,3,N
170,789,2019-04-01,18:31:25,3,12,505,N,1,1,41,2,8.5,4.25,N
171,790,2019-04-01,12:42:26,3,17,139,Y,1,1,53,1,3,3,N
172,793,2019-04-01,13:09:20,3,17,473,N,1,1,26,1,3,3,N
173,798,2019-04-01,19:29:01,3,17,329,Y,1,1,44,2,5,2.5,N
174,803,2019-04-01,11:26:24,3,17,600,N,1,1,49,2,6,3,N
175,807,2019-04-01,16:47:11,3,17,796,N,1,1,26,2,6,3,N
176,809,2019-04-01,16:51:18,3,12,52,N,1,1,37,2,6,3,N
177,810,2019-04-01,18:51:41,3,17,702,Y,1,1,28,1,2,2,N
178,820,2019-04-01,19:21:29,3,12,466,N,1,1,51,1,3,3,N
179,820,2019-04-01,19:21:29,3,12,466,N,1,5,74,1,3.5,3.5,N
180,823,2019-04-01,19:32:22,3,17,24,Y,1,1,47,1,3,3,N
181,828,2019-04-01,11:14:07,3,12,456,Y,1,1,52,1,2.5,2.5,N
182,831,2019-04-01,19:38:46,3,12,406,N,1,1,55,2,8,4,N
183,855,2019-04-01,15:12:22,3,12,637,N,1,1,24,1,3,3,N
184,859,2019-04-01,17:44:28,3,12,209,Y,1,1,27,2,7,3.5,N
185,859,2019-04-01,17:44:28,3,12,209,Y,1,5,74,1,3.5,3.5,N
186,861,2019-04-01,13:09:03,3,17,438,Y,1,1,35,1,3.1,3.1,N
187,869,2019-04-01,16:42:12,3,17,536,Y,1,1,36,2,7.5,3.75,N
188,873,2019-04-01,19:07:26,3,17,550,Y,1,1,46,1,2.5,2.5,N
189,873,2019-04-01,19:07:26,3,17,550,Y,1,5,78,1,4.5,4.5,N
190,889,2019-04-01,16:58:31,3,12,548,N,1,1,45,2,6,3,N
191,889,2019-04-01,16:58:31,3,12,548,N,1,5,70,1,3.25,3.25,N
192,891,2019-04-01,12:12:21,3,17,662,Y,1,1,34,2,4.9,2.45,N
193,891,2019-04-01,12:12:21,3,17,662,Y,1,5,71,1,3.75,3.75,N
194,901,2019-04-01,15:09:38,3,12,341,Y,1,1,29,1,2.5,2.5,N
195,901,2019-04-01,15:09:38,3,12,341,Y,1,5,71,1,3.75,3.75,N
196,902,2019-04-01,13:23:54,3,17,685,N,1,1,58,2,7,3.5,N
197,917,2019-04-01,19:10:16,3,12,631,Y,1,1,27,2,7,3.5,N
198,919,2019-04-01,19:06:41,3,17,675,N,1,1,54,1,2.5,2.5,N
199,921,2019-04-01,11:44:31,3,12,773,N,1,1,56,1,2.55,2.55,N
200,923,2019-04-01,13:44:26,3,17,740,N,1,1,57,1,3.1,3.1,N
201,924,2019-04-01,12:58:53,3,17,743,N,1,1,57,2,6.2,3.1,N
202,932,2019-04-01,15:55:09,3,12,296,N,1,1,44,2,5,2.5,N
203,944,2019-04-01,19:25:57,3,17,63,Y,1,1,50,2,5,2.5,N
204,944,2019-04-01,19:25:57,3,17,63,Y,1,5,69,1,3.25,3.25,N
205,946,2019-04-01,12:04:37,3,17,563,N,1,1,47,2,6,3,N
206,948,2019-04-01,16:18:56,3,17,424,N,1,1,61,1,4.75,4.75,N
207,960,2019-04-01,14:07:56,3,12,382,Y,1,1,23,1,2.5,2.5,N
208,964,2019-04-01,12:33:20,3,12,608,Y,1,1,54,2,5,2.5,N
209,968,2019-04-01,18:22:07,3,17,497,Y,1,1,53,1,3,3,N
210,969,2019-04-01,15:19:19,3,17,313,N,1,1,43,1,3,3,N
211,984,2019-04-01,15:17:06,3,12,81,N,1,1,53,1,3,3,N
212,988,2019-04-01,16:58:33,3,12,384,Y,1,1,37,1,3,3,N
213,993,2019-04-01,13:42:10,3,12,398,N,1,1,43,1,3,3,N
214,994,2019-04-01,15:50:59,3,17,44,N,1,1,39,1,4.25,4.25,N
215,1000,2019-04-01,16:07:20,3,17,732,N,1,1,23,2,5,2.5,N
216,1010,2019-04-01,16:17:52,3,17,430,N,1,1,29,2,5,2.5,N
217,1014,2019-04-01,13:19:36,3,12,601,N,1,1,23,1,2.5,2.5,N
218,1015,2019-04-01,11:40:26,3,12,7,N,1,1,52,2,5,2.5,N
219,1017,2019-04-01,11:15:33,3,17,318,Y,1,1,54,1,2.5,2.5,N
220,1018,2019-04-01,19:39:00,3,17,467,Y,1,1,47,2,6,3,N
221,1023,2019-04-01,15:27:11,3,12,434,Y,1,1,58,2,7,3.5,N
222,1033,2019-04-01,14:53:00,3,12,781,N,1,1,43,1,3,3,N
223,1042,2019-04-01,19:45:16,3,12,316,N,1,1,41,1,4.25,4.25,N
224,1046,2019-04-01,19:38:00,3,12,399,N,1,1,33,1,3.5,3.5,N
225,1051,2019-04-01,19:04:14,3,17,403,Y,1,1,29,2,5,2.5,N
226,1052,2019-04-01,17:59:05,3,12,685,N,1,1,48,1,2.5,2.5,N
227,1057,2019-04-01,15:44:32,3,17,409,N,1,1,44,2,5,2.5,N
228,1057,2019-04-01,15:44:32,3,17,409,N,1,5,78,1,4.5,4.5,N
229,1064,2019-04-01,17:32:16,3,12,557,Y,1,1,38,2,7.5,3.75,N
230,1065,2019-04-01,12:33:35,3,17,231,Y,1,1,29,2,5,2.5,N
231,1071,2019-04-01,11:36:00,3,17,571,N,1,1,40,2,7.5,3.75,N
232,1072,2019-04-01,16:20:47,3,12,235,Y,1,1,41,1,4.25,4.25,N
233,1088,2019-04-01,15:59:51,3,17,226,N,1,1,50,2,5,2.5,N
234,1093,2019-04-01,16:03:30,3,17,745,N,1,1,34,2,4.9,2.45,N
235,1094,2019-04-01,15:01:50,3,12,355,Y,1,1,27,1,3.5,3.5,N
236,1095,2019-04-01,13:40:47,3,17,177,Y,1,1,54,2,5,2.5,N
237,1096,2019-04-01,17:15:12,3,12,379,N,1,1,59,1,4.5,4.5,N
238,1108,2019-04-01,11:36:56,3,17,654,Y,1,1,55,1,4,4,N
239,1114,2019-04-01,17:10:35,3,12,428,N,1,1,59,1,4.5,4.5,N
240,1116,2019-04-01,17:29:08,3,12,402,Y,1,1,37,1,3,3,N
241,1117,2019-04-01,18:10:03,3,12,179,Y,1,1,58,1,3.5,3.5,N
242,1120,2019-04-01,14:45:37,3,17,536,N,1,1,38,1,3.75,3.75,N
243,1123,2019-04-01,12:09:46,3,17,299,N,1,1,26,2,6,3,N
244,1125,2019-04-01,12:50:28,3,12,184,Y,1,1,32,2,6,3,N
245,1145,2019-04-01,12:13:07,3,12,328,N,1,1,42,1,2.5,2.5,N
246,1146,2019-04-01,17:22:36,3,17,574,N,1,1,36,1,3.75,3.75,N
247,1151,2019-04-01,13:41:09,3,12,337,N,1,1,42,2,5,2.5,N
248,1167,2019-04-01,17:51:22,3,12,5,N,1,1,53,1,3,3,N
249,1169,2019-04-01,13:52:28,3,12,669,Y,1,1,56,2,5.1,2.55,N
250,1169,2019-04-01,13:52:28,3,12,669,Y,1,5,70,1,3.25,3.25,N
251,1182,2019-04-01,19:18:58,3,12,80,Y,1,1,53,1,3,3,N
252,1185,2019-04-01,12:40:00,3,17,490,N,1,1,37,2,6,3,N
253,1185,2019-04-01,12:40:00,3,17,490,N,1,5,69,1,3.25,3.25,N
254,1187,2019-04-01,12:48:08,3,17,567,Y,1,1,38,2,7.5,3.75,N
255,1195,2019-04-01,11:50:23,3,17,222,Y,1,1,36,2,7.5,3.75,N
256,1198,2019-04-01,15:44:22,3,12,408,Y,1,1,38,2,7.5,3.75,N
257,1201,2019-04-01,16:56:48,3,12,85,N,1,1,28,1,2,2,N
258,1206,2019-04-01,15:52:23,3,12,540,N,1,1,29,2,5,2.5,N
259,1207,2019-04-01,12:36:17,3,12,55,N,1,1,40,2,7.5,3.75,N
260,1207,2019-04-01,12:36:17,3,12,55,N,1,5,71,1,3.75,3.75,N
261,1209,2019-04-01,17:29:25,3,17,2,Y,1,1,46,1,2.5,2.5,N
262,1209,2019-04-01,17:29:25,3,17,2,Y,1,5,75,1,3.5,3.5,N
263,1210,2019-04-01,19:41:15,3,12,135,N,1,1,51,1,3,3,N
264,1230,2019-04-01,15:27:54,3,12,227,N,1,1,56,1,2.55,2.55,N
265,1233,2019-04-01,15:42:49,3,17,305,N,1,1,40,1,3.75,3.75,N
266,1238,2019-04-01,12:43:33,3,17,453,Y,1,1,29,1,2.5,2.5,N
267,1247,2019-04-01,11:33:29,3,12,146,Y,1,1,45,1,3,3,N
268,1247,2019-04-01,11:33:29,3,12,146,Y,1,5,74,1,3.5,3.5,N
269,1257,2019-04-01,13:35:04,3,12,646,N,1,1,30,2,6,3,N
270,1261,2019-04-01,14:02:12,3,12,770,Y,1,1,49,1,3,3,N
271,1264,2019-04-01,14:55:34,3,17,97,Y,1,1,34,2,4.9,2.45,N
272,1271,2019-04-01,12:46:55,3,17,434,N,1,1,33,1,3.5,3.5,N
273,1271,2019-04-01,12:46:55,3,17,434,N,1,5,75,1,3.5,3.5,N
274,1278,2019-04-01,14:20:06,3,12,181,N,1,1,35,2,6.2,3.1,N
275,1279,2019-04-01,12:56:33,3,17,247,N,1,1,61,1,4.75,4.75,N
276,1285,2019-04-01,15:55:50,3,17,3,N,1,1,31,2,4.4,2.2,N
277,1286,2019-04-01,15:26:37,3,12,606,N,1,1,41,2,8.5,4.25,N
278,1288,2019-04-01,17:55:47,3,12,603,Y,1,1,59,2,9,4.5,N
279,1288,2019-04-01,17:55:47,3,12,603,Y,1,5,70,1,3.25,3.25,N
280,1291,2019-04-01,14:46:03,3,12,428,N,1,1,44,2,5,2.5,N
281,1291,2019-04-01,14:46:03,3,12,428,N,1,5,77,1,3,3,N
282,1293,2019-04-01,11:05:21,3,17,447,N,1,1,31,2,4.4,2.2,N
283,1296,2019-04-01,14:03:41,3,17,730,Y,1,1,32,1,3,3,N
284,1297,2019-04-01,15:57:47,3,17,672,Y,1,1,57,2,6.2,3.1,N
285,1298,2019-04-01,16:36:10,3,12,189,Y,1,1,28,1,2,2,N
286,1301,2019-04-01,18:22:53,3,17,169,Y,1,1,32,1,3,3,N
287,1301,2019-04-01,18:22:53,3,17,169,Y,1,5,79,1,3.75,3.75,N
288,1302,2019-04-01,19:12:14,3,17,18,Y,1,1,22,1,2,2,N
289,1320,2019-04-01,17:37:58,3,17,646,Y,1,1,31,2,4.4,2.2,N
290,1325,2019-04-01,12:03:43,3,17,477,Y,1,1,44,1,2.5,2.5,N
291,1332,2019-04-01,13:00:03,3,17,377,Y,1,1,36,2,7.5,3.75,N
292,1333,2019-04-01,18:25:51,3,12,258,Y,1,1,61,1,4.75,4.75,N
293,1334,2019-04-01,16:30:37,3,17,8,N,1,1,33,2,7,3.5,N
294,1343,2019-04-01,16:19:17,3,17,404,Y,1,1,56,1,2.55,2.55,N
295,1352,2019-04-01,14:37:23,3,12,369,Y,1,1,34,2,4.9,2.45,N
296,1355,2019-04-01,11:01:58,3,17,580,Y,1,1,38,1,3.75,3.75,N
297,1355,2019-04-01,11:01:58,3,17,580,Y,1,5,75,1,3.5,3.5,N
298,1359,2019-04-01,14:31:32,3,12,429,N,1,1,33,2,7,3.5,N
299,1362,2019-04-01,12:47:29,3,17,11,N,1,1,48,1,2.5,2.5,N
300,1364,2019-04-01,16:55:13,3,12,365,N,1,1,29,1,2.5,2.5,N
301,1364,2019-04-01,16:55:13,3,12,365,N,1,5,73,1,3.75,3.75,N
302,1367,2019-04-01,14:25:32,3,12,51,N,1,1,58,2,7,3.5,N
303,1371,2019-04-01,14:43:13,3,12,373,N,1,1,50,2,5,2.5,N
304,1380,2019-04-01,15:22:11,3,12,725,Y,1,1,39,2,8.5,4.25,N
305,1383,2019-04-01,18:42:04,3,12,656,Y,1,1,60,2,7.5,3.75,N
306,1384,2019-04-01,17:44:04,3,17,677,Y,1,1,47,2,6,3,N
307,1386,2019-04-01,15:36:03,3,17,441,N,1,1,52,1,2.5,2.5,N
308,1386,2019-04-01,15:36:03,3,17,441,N,1,5,79,1,3.75,3.75,N
309,1388,2019-04-01,14:17:29,3,17,101,N,1,1,26,1,3,3,N
310,1389,2019-04-01,11:14:45,3,17,212,Y,1,1,52,2,5,2.5,N
311,1391,2019-04-01,17:42:35,3,12,199,Y,1,1,24,1,3,3,N
312,1402,2019-04-01,16:12:12,3,17,230,Y,1,1,54,1,2.5,2.5,N
313,1402,2019-04-01,16:12:12,3,17,230,Y,1,5,76,1,3.5,3.5,N
314,1404,2019-04-01,11:40:20,3,12,534,Y,1,1,61,1,4.75,4.75,N
315,1406,2019-04-01,12:27:46,3,12,231,Y,1,1,59,1,4.5,4.5,N
316,1407,2019-04-01,19:57:56,3,12,448,Y,1,1,35,1,3.1,3.1,N
317,1416,2019-04-01,11:59:48,3,17,391,N,1,1,52,2,5,2.5,N
318,1417,2019-04-01,18:49:50,3,17,168,N,1,1,51,2,6,3,N
319,1419,2019-04-01,14:34:35,3,17,447,Y,1,1,52,2,5,2.5,N
320,1419,2019-04-01,14:34:35,3,17,447,Y,1,5,75,1,3.5,3.5,N
321,1430,2019-04-01,14:13:48,3,12,25,Y,1,1,61,1,4.75,4.75,N
322,1430,2019-04-01,14:13:48,3,12,25,Y,1,5,77,1,3,3,N
323,1436,2019-04-01,18:52:57,3,12,90,Y,1,1,59,2,9,4.5,N
324,1437,2019-04-01,17:25:45,3,12,677,Y,1,1,58,2,7,3.5,N
325,1447,2019-04-01,18:22:12,3,12,70,N,1,1,61,2,9.5,4.75,N
326,1459,2019-04-01,14:36:23,3,12,581,N,1,1,30,2,6,3,N
